,text_latinamerica,text_spain,encoded_latinamerica_spain,encoded_latinamerica,text_prediction
130,¿Un mensaje a sus exalumnos? Ellos lo admiraban.,¿Quiere decirles algo a sus deportistas? Lo admiraban.,<s>¿Un mensaje a sus exalumnos? Ellos lo admiraban.</s>>>>><p>¿Quiere decirles algo a sus deportistas? Lo admiraban.</p>,<s>¿Un mensaje a sus exalumnos? Ellos lo admiraban.</s>>>>><p>,¿Un mensaje a sus exalumnos? Él lo adoraba.
131,Yo comería algo.,Yo también.,<s>Yo comería algo.</s>>>>><p>Yo también.</p>,<s>Yo comería algo.</s>>>>><p>,¿Comería algo?
132,FLORERÍA STEWART FLORES PARA CADA OCASIÓN,FLORES PARA CADA OCASIÓN,<s>FLORERÍA STEWART FLORES PARA CADA OCASIÓN</s>>>>><p>FLORES PARA CADA OCASIÓN</p>,<s>FLORERÍA STEWART FLORES PARA CADA OCASIÓN</s>>>>><p>,LLORERÍA STEWART FLORES PARA CADA OCASIÓN
133,Seguro. ¿Qué pasa? No seas pendejo. Sí. Me ves aquí,"Bien. Déjate de mierdas, tío. Ya. Me ves aquí dentro.","<s>Seguro. ¿Qué pasa? No seas pendejo. Sí. Me ves aquí</s>>>>><p>Bien. Déjate de mierdas, tío. Ya. Me ves aquí dentro.</p>",<s>Seguro. ¿Qué pasa? No seas pendejo. Sí. Me ves aquí</s>>>>><p>,¿Qué pasa? No seas pendejo. Sí. Me ves aquí
134,"Saben, realmente pensé... Conocí a mi alma gemela, y se acabó y...",Estaba convencida de que era mi otra mitad. Y eso se acabó y...,"<s>Saben, realmente pensé... Conocí a mi alma gemela, y se acabó y...</s>>>>><p>Estaba convencida de que era mi otra mitad. Y eso se acabó y...</p>","<s>Saben, realmente pensé... Conocí a mi alma gemela, y se acabó y...</s>>>>><p>","...saben, me he sentido......con mi alma gemela y..."
135,"O peor aun, fue una sacudida previa a la principal.","O aún peor, ha sido un terremoto pequeño antes del grande.","<s>O peor aun, fue una sacudida previa a la principal.</s>>>>><p>O aún peor, ha sido un terremoto pequeño antes del grande.</p>","<s>O peor aun, fue una sacudida previa a la principal.</s>>>>><p>","O peor aún, fue una movida previa a la primera."
136,Es que no fui profesora toda la vida. Era una chica genial. Tenía una banda.,Es que no siempre he sido profe de lengua. Yo era una tía guay. Y tenía un grupo.,<s>Es que no fui profesora toda la vida. Era una chica genial. Tenía una banda.</s>>>>><p>Es que no siempre he sido profe de lengua. Yo era una tía guay. Y tenía un grupo.</p>,<s>Es que no fui profesora toda la vida. Era una chica genial. Tenía una banda.</s>>>>><p>,...no fui profesora toda la vida. Era una chica genial. Tenía una banda.
137,No lo sé. Luego de que el segundo libro fuera tan criticado,Pues no lo sé. Después de que el segundo libro fracasara,<s>No lo sé. Luego de que el segundo libro fuera tan criticado</s>>>>><p>Pues no lo sé. Después de que el segundo libro fracasara</p>,<s>No lo sé. Luego de que el segundo libro fuera tan criticado</s>>>>><p>,No lo sé. Después de que el segundo libro fuera tan crítico
138,y ya se encuentra a varios metros por encima del suelo del bosque.,y ya está a varios metros por encima del suelo de la selva.,<s>y ya se encuentra a varios metros por encima del suelo del bosque.</s>>>>><p>y ya está a varios metros por encima del suelo de la selva.</p>,<s>y ya se encuentra a varios metros por encima del suelo del bosque.</s>>>>><p>,y ya está a unos metros de la tierra del bosque.
139,Buenas noches. Buenas noches.,Buenas noches. Buenas noches.,<s>Buenas noches. Buenas noches.</s>>>>><p>Buenas noches. Buenas noches.</p>,<s>Buenas noches. Buenas noches.</s>>>>><p>,Buenas noches. Buenas noches.
140,¿Qué haremos esta noche? Brindaremos por obtener las respuestas a todas nuestras preguntas,¿Qué hacemos esta noche? Brindamos. Por que se respondan todas nuestras preguntas.,<s>¿Qué haremos esta noche? Brindaremos por obtener las respuestas a todas nuestras preguntas</s>>>>><p>¿Qué hacemos esta noche? Brindamos. Por que se respondan todas nuestras preguntas.</p>,<s>¿Qué haremos esta noche? Brindaremos por obtener las respuestas a todas nuestras preguntas</s>>>>><p>,¿Qué vamos a hacer esta noche? Brindaremos por conseguir las respuestas a todas nuestras preguntas
141,Son los amigos más viejos que tengo.,"Mira, son mis mejores amigos, cari.","<s>Son los amigos más viejos que tengo.</s>>>>><p>Mira, son mis mejores amigos, cari.</p>",<s>Son los amigos más viejos que tengo.</s>>>>><p>,Los amigos más viejos que tengo.
142,"Es una cultura ilógica, pero también hermosa.","Es una cultura ilógica, pero también preciosa.","<s>Es una cultura ilógica, pero también hermosa.</s>>>>><p>Es una cultura ilógica, pero también preciosa.</p>","<s>Es una cultura ilógica, pero también hermosa.</s>>>>><p>","Es una cultura Ilógica, pero también preciosa."
143,"Cuando cuidé a Austin,","Cuando fui a cuidar a Austin,","<s>Cuando cuidé a Austin,</s>>>>><p>Cuando fui a cuidar a Austin,</p>","<s>Cuando cuidé a Austin,</s>>>>><p>","Cuando me cuidé a Austin,"
144,Mejor que bien. Madre piensa adoptarme.,Mejor que bien. Madre piensa adoptarme,<s>Mejor que bien. Madre piensa adoptarme.</s>>>>><p>Mejor que bien. Madre piensa adoptarme</p>,<s>Mejor que bien. Madre piensa adoptarme.</s>>>>><p>,¿Mejor? Madre dice que me adopto.
145,Steve…,Steve…,<s>Steve…</s>>>>><p>Steve…</p>,<s>Steve…</s>>>>><p>,¿Steve?
146,No es horrible.,No es horrible.,<s>No es horrible.</s>>>>><p>No es horrible.</p>,<s>No es horrible.</s>>>>><p>,No es horrible.
147,O tal vez sea tímido. Love puede ser un poco directa. Es un halago.,O es tímido. Love es un poquito directa. Es un cumplido.,<s>O tal vez sea tímido. Love puede ser un poco directa. Es un halago.</s>>>>><p>O es tímido. Love es un poquito directa. Es un cumplido.</p>,<s>O tal vez sea tímido. Love puede ser un poco directa. Es un halago.</s>>>>><p>,O quizá sea tímido. Love puede ser un poco directo. Es un halago.
148,"Hice pasantías en el centro de asesoría familiar, como te dije.","Hacía prácticas en el Centro de la Familia, como te dije.","<s>Hice pasantías en el centro de asesoría familiar, como te dije.</s>>>>><p>Hacía prácticas en el Centro de la Familia, como te dije.</p>","<s>Hice pasantías en el centro de asesoría familiar, como te dije.</s>>>>><p>","que hice pasantías en el centro de asesoría familiar, como te dije."
149,No se trata de eso.,No se trata de eso.,<s>No se trata de eso.</s>>>>><p>No se trata de eso.</p>,<s>No se trata de eso.</s>>>>><p>,No es eso.
150,"Increíbles. Me enganchó. Dicho eso, no existe ningún mundo en el que miembros del KKK","Increíble. Me enganchaste. Dicho eso, es imposible que miembros del Ku Klux Klan","<s>Increíbles. Me enganchó. Dicho eso, no existe ningún mundo en el que miembros del KKK</s>>>>><p>Increíble. Me enganchaste. Dicho eso, es imposible que miembros del Ku Klux Klan</p>","<s>Increíbles. Me enganchó. Dicho eso, no existe ningún mundo en el que miembros del KKK</s>>>>><p>",Increíble. Me enganchó. Eso no existe ningún mundo en el que miembros del KKK
151,si es lo que preguntas. Bien. Espera. Tú...,"si esa es la pregunta. Ya. A ver, espera. Cobras...","<s>si es lo que preguntas. Bien. Espera. Tú...</s>>>>><p>si esa es la pregunta. Ya. A ver, espera. Cobras...</p>",<s>si es lo que preguntas. Bien. Espera. Tú...</s>>>>><p>,...si es lo que preguntas. Vale. Espera. Tú...
152,"No fueron ellos. ¿Quién fue? Nadie. ¿Se abrió por diversión? Erica, no tienes idea de lo que hablas.","No son ellos. ¿Y quién es? Nadie. ¿Se ha abierto porque sí? Erica, no sabes de lo que hablas.","<s>No fueron ellos. ¿Quién fue? Nadie. ¿Se abrió por diversión? Erica, no tienes idea de lo que hablas.</s>>>>><p>No son ellos. ¿Y quién es? Nadie. ¿Se ha abierto porque sí? Erica, no sabes de lo que hablas.</p>","<s>No fueron ellos. ¿Quién fue? Nadie. ¿Se abrió por diversión? Erica, no tienes idea de lo que hablas.</s>>>>><p>","No fueron ellos. ¿Quién? Nadie. ¿Se abrió por diversión? Erica, no tienes ni idea de lo que hablas."
153,Claro que puedes unirte. Es un lugar seguro para todos.,Claro que puedes apuntarte. Es un espacio seguro para todos.,<s>Claro que puedes unirte. Es un lugar seguro para todos.</s>>>>><p>Claro que puedes apuntarte. Es un espacio seguro para todos.</p>,<s>Claro que puedes unirte. Es un lugar seguro para todos.</s>>>>><p>,¿Puedes unirte? Es un lugar seguro para todos.
154,"Tú vive tu vida, y yo te dejaré en paz. Porque es lo que te gusta.",Voy a dejar que vivas tu puta vida. Es lo que te gusta.,"<s>Tú vive tu vida, y yo te dejaré en paz. Porque es lo que te gusta.</s>>>>><p>Voy a dejar que vivas tu puta vida. Es lo que te gusta.</p>","<s>Tú vive tu vida, y yo te dejaré en paz. Porque es lo que te gusta.</s>>>>><p>",...eres tú quien vive tu vida y yo te dejo en paz. Porque es lo que te gusta.
155,"Alcalde Randolph. Es la costumbre, lo siento.",Paul Randolph. Alcalde. Es instintivo. Lo siento.,"<s>Alcalde Randolph. Es la costumbre, lo siento.</s>>>>><p>Paul Randolph. Alcalde. Es instintivo. Lo siento.</p>","<s>Alcalde Randolph. Es la costumbre, lo siento.</s>>>>><p>","El alcalde Randolph. Es la costumbre, lo siento."
156,"¿Marcus? Sí, un gran amigo.","¿Marcus? Sí, uña y carne.","<s>¿Marcus? Sí, un gran amigo.</s>>>>><p>¿Marcus? Sí, uña y carne.</p>","<s>¿Marcus? Sí, un gran amigo.</s>>>>><p>","¿Marcus? Sí, un amigo."
157,me recuerdes con afecto. Siempre te recordaré levantándome del piso. Si es que lo haces.,tengas un buen recuerdo de mí. Sé que siempre te recordaré levantándome del suelo. Si es que lo haces.,<s>me recuerdes con afecto. Siempre te recordaré levantándome del piso. Si es que lo haces.</s>>>>><p>tengas un buen recuerdo de mí. Sé que siempre te recordaré levantándome del suelo. Si es que lo haces.</p>,<s>me recuerdes con afecto. Siempre te recordaré levantándome del piso. Si es que lo haces.</s>>>>><p>,...me recuerdes con cariño. Siempre te recordaré levantándome del suelo. Si es que lo haces.
158,Dios sabrá qué más es capaz de hacer. ¡Y la premian dándole mi lugar en el equipo!,Dios sabe de lo que es capaz. ¡Y la recompensan dándole mi plaza en el equipo!,<s>Dios sabrá qué más es capaz de hacer. ¡Y la premian dándole mi lugar en el equipo!</s>>>>><p>Dios sabe de lo que es capaz. ¡Y la recompensan dándole mi plaza en el equipo!</p>,<s>Dios sabrá qué más es capaz de hacer. ¡Y la premian dándole mi lugar en el equipo!</s>>>>><p>,¡Dios sabrá qué más es capaz de hacer! ¡Y la recompensan dándome mi lugar en el equipo!
159,"¡Descansa un poco, Cynthia! Dios.","¡Descansa, Cynthia! Madre mía.","<s>¡Descansa un poco, Cynthia! Dios.</s>>>>><p>¡Descansa, Cynthia! Madre mía.</p>","<s>¡Descansa un poco, Cynthia! Dios.</s>>>>><p>","¡Descansa un poco, Cynthia! Dios."
160,Totalmente!,¡Desde luego!,<s>Totalmente!</s>>>>><p>¡Desde luego!</p>,<s>Totalmente!</s>>>>><p>,¡Totalmente!
161,¿Vamos?,¿Vamos?,<s>¿Vamos?</s>>>>><p>¿Vamos?</p>,<s>¿Vamos?</s>>>>><p>,¿Vamos?
162,Algo horrible.,Algo terrible.,<s>Algo horrible.</s>>>>><p>Algo terrible.</p>,<s>Algo horrible.</s>>>>><p>,...algo horrible.
163,"lo que les diría. Sí, entiendo.",...y lo que les diría. Lo entiendo.,"<s>lo que les diría. Sí, entiendo.</s>>>>><p>...y lo que les diría. Lo entiendo.</p>","<s>lo que les diría. Sí, entiendo.</s>>>>><p>","...lo que les diría. Sí, lo entiendo."
164,Es un cuarto sorpresivamente lindo.,Una estancia sorprendentemente bonita.,<s>Es un cuarto sorpresivamente lindo.</s>>>>><p>Una estancia sorprendentemente bonita.</p>,<s>Es un cuarto sorpresivamente lindo.</s>>>>><p>,Es un cuarto muy bonito.
165,Así. ¿Estás bien? Sí. Vuelve a la línea. Los segundos son agresores.,"Eso es. ¿Estás bien? Sí. Vuelve a la fila. Selena, cambia. Los agresores...","<s>Así. ¿Estás bien? Sí. Vuelve a la línea. Los segundos son agresores.</s>>>>><p>Eso es. ¿Estás bien? Sí. Vuelve a la fila. Selena, cambia. Los agresores...</p>",<s>Así. ¿Estás bien? Sí. Vuelve a la línea. Los segundos son agresores.</s>>>>><p>,-Sí. -¿Estás bien? -Sí. Vuelve a la línea. Los segundos son agresores.
166,Suaves.,Suaves.,<s>Suaves.</s>>>>><p>Suaves.</p>,<s>Suaves.</s>>>>><p>,¿Qué? Suave.
167,después de irme de Lyme. ¿Cómo está? Sigue en cama la pobre.,"¿Cómo está ella? Sigue en cama, pero ya está mucho mejor.","<s>después de irme de Lyme. ¿Cómo está? Sigue en cama la pobre.</s>>>>><p>¿Cómo está ella? Sigue en cama, pero ya está mucho mejor.</p>",<s>después de irme de Lyme. ¿Cómo está? Sigue en cama la pobre.</s>>>>><p>,...después de irme de Lyme. ¿Cómo está? Sigue en cama la pobre.
168,"Puedes decir ""nos dejó solos"" o ""nos abandonó"",","Puedes decir ""dejarnos solos"" o ""dejarnos a solas"",","<s>Puedes decir ""nos dejó solos"" o ""nos abandonó"",</s>>>>><p>Puedes decir ""dejarnos solos"" o ""dejarnos a solas"",</p>","<s>Puedes decir ""nos dejó solos"" o ""nos abandonó"",</s>>>>><p>",...te dejó solos o nos dejó solos?
169,Lo encontraron ahorcado en su baño.,Lo encontraron ahorcado en su baño.,<s>Lo encontraron ahorcado en su baño.</s>>>>><p>Lo encontraron ahorcado en su baño.</p>,<s>Lo encontraron ahorcado en su baño.</s>>>>><p>,Lo encontraron colgado en el baño.
170,"¿Una gominola mágica? No participo, pero gracias.","¿Un osito mágico? No tomo, pero gracias.","<s>¿Una gominola mágica? No participo, pero gracias.</s>>>>><p>¿Un osito mágico? No tomo, pero gracias.</p>","<s>¿Una gominola mágica? No participo, pero gracias.</s>>>>><p>","¿Una gomina mágica? No, pero gracias."
171,¿Qué filmas? Está bueno. ¿Cuándo lo vas a ver?,¿Qué estás grabando? Mola. ¿Cuándo lo vas a ver?,<s>¿Qué filmas? Está bueno. ¿Cuándo lo vas a ver?</s>>>>><p>¿Qué estás grabando? Mola. ¿Cuándo lo vas a ver?</p>,<s>¿Qué filmas? Está bueno. ¿Cuándo lo vas a ver?</s>>>>><p>,¿Qué filmas? Está bueno. ¿Cuándo lo vas a ver?
172,"Gracias por la sugerencia, pero no me veo yendo a la universidad.","Le agradezco la idea, pero no creo que tenga... madera de universitario.","<s>Gracias por la sugerencia, pero no me veo yendo a la universidad.</s>>>>><p>Le agradezco la idea, pero no creo que tenga... madera de universitario.</p>","<s>Gracias por la sugerencia, pero no me veo yendo a la universidad.</s>>>>><p>","Gracias por la sugerencia, pero no me veo yendo a la universidad."
173,Me di cuenta de que me gusta decidir qué hace mi cuerpo durante el sexo.,Me di cuenta de que me gusta decidir hasta dónde llegar con mi cuerpo.,<s>Me di cuenta de que me gusta decidir qué hace mi cuerpo durante el sexo.</s>>>>><p>Me di cuenta de que me gusta decidir hasta dónde llegar con mi cuerpo.</p>,<s>Me di cuenta de que me gusta decidir qué hace mi cuerpo durante el sexo.</s>>>>><p>,Me di cuenta de que me gusta decidir qué hace mi cuerpo durante el sexo.
174,Cuarto 201. Gracias.,En la 201. Gracias.,<s>Cuarto 201. Gracias.</s>>>>><p>En la 201. Gracias.</p>,<s>Cuarto 201. Gracias.</s>>>>><p>,¿Qué tal el cuartogua? Gracias.
175,No es una bolsa de dinero. Son problemas de álgebra. No me importa. Ojalá haya payasos. Me gustan los tristes.,Y esto no es dinero. Son exámenes de álgebra. No me importa quién sea. Espero que este circo tenga payasos.,<s>No es una bolsa de dinero. Son problemas de álgebra. No me importa. Ojalá haya payasos. Me gustan los tristes.</s>>>>><p>Y esto no es dinero. Son exámenes de álgebra. No me importa quién sea. Espero que este circo tenga payasos.</p>,<s>No es una bolsa de dinero. Son problemas de álgebra. No me importa. Ojalá haya payasos. Me gustan los tristes.</s>>>>><p>,No es una bolsa de dinero. Son problemas de álgebra. No me importa. Me gustan los tristes.
176,Necesitarás trabajo e ingreso estable.,Necesitas trabajo e ingresos estables.,<s>Necesitarás trabajo e ingreso estable.</s>>>>><p>Necesitas trabajo e ingresos estables.</p>,<s>Necesitarás trabajo e ingreso estable.</s>>>>><p>,Necesitas un trabajo estable.
177,Sí. Está bien. Quedémonos aquí.,Sí. Está bien. Quedémonos aquí.,<s>Sí. Está bien. Quedémonos aquí.</s>>>>><p>Sí. Está bien. Quedémonos aquí.</p>,<s>Sí. Está bien. Quedémonos aquí.</s>>>>><p>,¿Vale? Vale. Quedémonos aquí.
178,"¡No sé nadar! Así que no podemos ir a navegar porque si me caigo, caeré en una tumba acuática.","No sé nadar, ¿vale? No podemos viajar en barco porque, si me caigo, me hundiré en el abismo y moriré.","<s>¡No sé nadar! Así que no podemos ir a navegar porque si me caigo, caeré en una tumba acuática.</s>>>>><p>No sé nadar, ¿vale? No podemos viajar en barco porque, si me caigo, me hundiré en el abismo y moriré.</p>","<s>¡No sé nadar! Así que no podemos ir a navegar porque si me caigo, caeré en una tumba acuática.</s>>>>><p>","¡No sé nadar! No podemos ir a ningún lado porque si caigo, caeré en una tumba acuática."
179,Fue divertido. También inventé muchos diálogos.,Lo pasé bien. También improvisé mucho.,<s>Fue divertido. También inventé muchos diálogos.</s>>>>><p>Lo pasé bien. También improvisé mucho.</p>,<s>Fue divertido. También inventé muchos diálogos.</s>>>>><p>,Fue divertido. También he inventado muchos diálogos.
180,Es mucho más generoso en la cama cuando está deprimido.,Es más generoso en la cama cuando está deprimido.,<s>Es mucho más generoso en la cama cuando está deprimido.</s>>>>><p>Es más generoso en la cama cuando está deprimido.</p>,<s>Es mucho más generoso en la cama cuando está deprimido.</s>>>>><p>,Es mucho más generoso cuando está deprimido.
181,"Mamá, ¿esta es mi licencia de manejar?",¿Este es mi permiso de conducir?,"<s>Mamá, ¿esta es mi licencia de manejar?</s>>>>><p>¿Este es mi permiso de conducir?</p>","<s>Mamá, ¿esta es mi licencia de manejar?</s>>>>><p>",¿Es mi licencia de conducir?
182,Sírvete. Gracias.,Toma. Gracias.,<s>Sírvete. Gracias.</s>>>>><p>Toma. Gracias.</p>,<s>Sírvete. Gracias.</s>>>>><p>,¿Sírvete? Gracias.
183,"El conde trama planes horribles, y tú lo ayudas. No nos pondremos de acuerdo.",Ayudas a Olaf con sus maquinaciones. Aceptemos las diferencias.,"<s>El conde trama planes horribles, y tú lo ayudas. No nos pondremos de acuerdo.</s>>>>><p>Ayudas a Olaf con sus maquinaciones. Aceptemos las diferencias.</p>","<s>El conde trama planes horribles, y tú lo ayudas. No nos pondremos de acuerdo.</s>>>>><p>",El conde trama planes horribles y tú lo ayudas. No nos vamos a poner de acuerdo.
184,"Pero ahora, las ballenas azules están protegidas,","Ahora, la ballena azul está protegida","<s>Pero ahora, las ballenas azules están protegidas,</s>>>>><p>Ahora, la ballena azul está protegida</p>","<s>Pero ahora, las ballenas azules están protegidas,</s>>>>><p>","Pero ahora, las ballenas azules están protegidas,"
185,"¿O enfrento una vida de querer eso que no debería tener?"".","¿O me enfrento a una vida entera de querer lo que no debería tener?"".","<s>¿O enfrento una vida de querer eso que no debería tener?"".</s>>>>><p>¿O me enfrento a una vida entera de querer lo que no debería tener?"".</p>","<s>¿O enfrento una vida de querer eso que no debería tener?"".</s>>>>><p>",¿O enfrento una vida de querer eso que no debería tener?.
186,"-¿Sí? -¡Sí! -Vamos. -No, no puedes salir con pinzas.","¿Ah, sí? ¡Sí! Vamos. No puedes ir con estas pinzas.","<s>-¿Sí? -¡Sí! -Vamos. -No, no puedes salir con pinzas.</s>>>>><p>¿Ah, sí? ¡Sí! Vamos. No puedes ir con estas pinzas.</p>","<s>-¿Sí? -¡Sí! -Vamos. -No, no puedes salir con pinzas.</s>>>>><p>","-Sí. ¡Vamos! No, no puedes salir con pinzas."
187,Los niños deben aprender a obedecer a sus mayores.,Los niños deben aprender a obedecer a los mayores.,<s>Los niños deben aprender a obedecer a sus mayores.</s>>>>><p>Los niños deben aprender a obedecer a los mayores.</p>,<s>Los niños deben aprender a obedecer a sus mayores.</s>>>>><p>,Los niños deben aprender a obedecer a sus mayores.
188,Por el siguiente artículo.,Por el próximo trabajo.,<s>Por el siguiente artículo.</s>>>>><p>Por el próximo trabajo.</p>,<s>Por el siguiente artículo.</s>>>>><p>,Por el siguiente artículo.
189,¿Hablan en serio? De acuerdo.,"¿Van en serio? Pim, pam, fuego.","<s>¿Hablan en serio? De acuerdo.</s>>>>><p>¿Van en serio? Pim, pam, fuego.</p>",<s>¿Hablan en serio? De acuerdo.</s>>>>><p>,¿En serio? Vale.
190,"¿Usted quería? La pasaba bien con Hannah, pero no servía para novia.","¿Tú querías? Me lo pasaba muy bien con Hannah, pero no tenía madera de novia.","<s>¿Usted quería? La pasaba bien con Hannah, pero no servía para novia.</s>>>>><p>¿Tú querías? Me lo pasaba muy bien con Hannah, pero no tenía madera de novia.</p>","<s>¿Usted quería? La pasaba bien con Hannah, pero no servía para novia.</s>>>>><p>","¿Quería? La pasaba bien con Hannah, pero no para novia."
191,Joan-Margaret. Sí.,Joan-Margaret. Sí.,<s>Joan-Margaret. Sí.</s>>>>><p>Joan-Margaret. Sí.</p>,<s>Joan-Margaret. Sí.</s>>>>><p>,¿Joan-Margaret? Sí.
192,Él parecía muy enamorado de ella. Hacían una buena pareja.,Parece embelesado con ella. Parecían tan para cual.,<s>Él parecía muy enamorado de ella. Hacían una buena pareja.</s>>>>><p>Parece embelesado con ella. Parecían tan para cual.</p>,<s>Él parecía muy enamorado de ella. Hacían una buena pareja.</s>>>>><p>,Era muy enamorado de ella. Hacían una buena pareja.
193,un perfil más público de lo debido.,un perfil más público de lo que debería.,<s>un perfil más público de lo debido.</s>>>>><p>un perfil más público de lo que debería.</p>,<s>un perfil más público de lo debido.</s>>>>><p>,más público de lo debido.
194,Treinta y cinco... dólares para Sidney.,Treinta y cinco... dólares para Sidney.,<s>Treinta y cinco... dólares para Sidney.</s>>>>><p>Treinta y cinco... dólares para Sidney.</p>,<s>Treinta y cinco... dólares para Sidney.</s>>>>><p>,Treinta y cinco dólares para Sidney.
195,"Una vez que se derrite todo el hielo, el kril pierde su protección,","Cuando el hielo se funde por completo, el krill pierde su protección","<s>Una vez que se derrite todo el hielo, el kril pierde su protección,</s>>>>><p>Cuando el hielo se funde por completo, el krill pierde su protección</p>","<s>Una vez que se derrite todo el hielo, el kril pierde su protección,</s>>>>><p>","Una vez que se derrite el hielo, el kril pierde su protección,"
196,Tendrás que creer en mi palabra.,Tendrás que creerme.,<s>Tendrás que creer en mi palabra.</s>>>>><p>Tendrás que creerme.</p>,<s>Tendrás que creer en mi palabra.</s>>>>><p>,...tendrás que creer en mi palabra.
197,¿Cuál es su nombre? ¿Mi nombre?,¿Cuál es su nombre? ¿Mi nombre?,<s>¿Cuál es su nombre? ¿Mi nombre?</s>>>>><p>¿Cuál es su nombre? ¿Mi nombre?</p>,<s>¿Cuál es su nombre? ¿Mi nombre?</s>>>>><p>,¿Cuál es su nombre? ¿Mi nombre?
198,"Sí, está bien.",Sí. Vale.,"<s>Sí, está bien.</s>>>>><p>Sí. Vale.</p>","<s>Sí, está bien.</s>>>>><p>","¿Vale? Sí, vale."
199,"¿Qué importa? La película de Sam, Gina La Machina, cierra el Festival de Cine el miércoles.","¿Qué más da? Una peli de Sam, Gina la Máquina, va a cerrar el festival de cine de Highland Park el miércoles.","<s>¿Qué importa? La película de Sam, Gina La Machina, cierra el Festival de Cine el miércoles.</s>>>>><p>¿Qué más da? Una peli de Sam, Gina la Máquina, va a cerrar el festival de cine de Highland Park el miércoles.</p>","<s>¿Qué importa? La película de Sam, Gina La Machina, cierra el Festival de Cine el miércoles.</s>>>>><p>","¿Qué importa? La película de Sam, Gina La Machina, cierra el Festival de cine el martes."
200,Vamos allá.,Vamos... Vámonos.,<s>Vamos allá.</s>>>>><p>Vamos... Vámonos.</p>,<s>Vamos allá.</s>>>>><p>,Vamos allá.
201,"En Alaska occidental, tanto en primavera como ahora en otoño,","En Alaska occidental, en primavera y, como ahora, en otoño,","<s>En Alaska occidental, tanto en primavera como ahora en otoño,</s>>>>><p>En Alaska occidental, en primavera y, como ahora, en otoño,</p>","<s>En Alaska occidental, tanto en primavera como ahora en otoño,</s>>>>><p>","En Alaska occidental, tanto en verano como en verano,"
202,"Yo me ocupo. Eres muy orgullosa, preciosa.",Yo me ocupo. Eres demasiado orgullosa.,"<s>Yo me ocupo. Eres muy orgullosa, preciosa.</s>>>>><p>Yo me ocupo. Eres demasiado orgullosa.</p>","<s>Yo me ocupo. Eres muy orgullosa, preciosa.</s>>>>><p>","Yo me ocupo. Eres muy orgullosa, preciosa."
203,"Está bien, yo llevaré.","No importa, yo te guío.","<s>Está bien, yo llevaré.</s>>>>><p>No importa, yo te guío.</p>","<s>Está bien, yo llevaré.</s>>>>><p>",¿Vale? Yo llevo.
204,Escuché todo lo que dijiste. Y creo que sintonicé una radio FM.,He oído todo lo que has dicho. Y creo que he pillado una cadena de radio FM.,<s>Escuché todo lo que dijiste. Y creo que sintonicé una radio FM.</s>>>>><p>He oído todo lo que has dicho. Y creo que he pillado una cadena de radio FM.</p>,<s>Escuché todo lo que dijiste. Y creo que sintonicé una radio FM.</s>>>>><p>,Lo he oído todo. Y creo que he coincidido con una radio FM.
205,"¡Si alguien me sigue, la niña se come la espada!","Si alguien intenta seguirme, la pequeña probará la espada.","<s>¡Si alguien me sigue, la niña se come la espada!</s>>>>><p>Si alguien intenta seguirme, la pequeña probará la espada.</p>","<s>¡Si alguien me sigue, la niña se come la espada!</s>>>>><p>","¡Si alguien me sigue, la niña se come la espada!"
206,¡Ayuda! ¡Norma! ¡Papi!,¡Papá! ¡Socorro! ¡Norma!,<s>¡Ayuda! ¡Norma! ¡Papi!</s>>>>><p>¡Papá! ¡Socorro! ¡Norma!</p>,<s>¡Ayuda! ¡Norma! ¡Papi!</s>>>>><p>,¡Ayuda! ¡Norma! ¡Papi!
207,¿Lo harás? ¿Aceptas? Acepto. Eso es. Qué increíble.,¿Lo harás? ¿Te apuntas? Me apunto. Muy bien. Esto es increíble.,<s>¿Lo harás? ¿Aceptas? Acepto. Eso es. Qué increíble.</s>>>>><p>¿Lo harás? ¿Te apuntas? Me apunto. Muy bien. Esto es increíble.</p>,<s>¿Lo harás? ¿Aceptas? Acepto. Eso es. Qué increíble.</s>>>>><p>,¿Lo vas a hacer? ¿Aceptas? Acepto. Eso es. Qué guay.
208,"Vamos, denme un verdadero reto. Tratemos con Zero Mostel o Patti LuPone. Es LuPone. Búscalo.",Vamos. Una difícil. Pregúntame algo de Zero Mostel o de Patti LuPone. Es LuPone. Búscalo.,"<s>Vamos, denme un verdadero reto. Tratemos con Zero Mostel o Patti LuPone. Es LuPone. Búscalo.</s>>>>><p>Vamos. Una difícil. Pregúntame algo de Zero Mostel o de Patti LuPone. Es LuPone. Búscalo.</p>","<s>Vamos, denme un verdadero reto. Tratemos con Zero Mostel o Patti LuPone. Es LuPone. Búscalo.</s>>>>><p>","Vamos, chicos. Vamos a jugar conJames Mostel o Patti LuPone. Es un reto. Búscalo."
209,Mi medicina para la tranquilidad.,Mi medicina de la tranquilidad.,<s>Mi medicina para la tranquilidad.</s>>>>><p>Mi medicina de la tranquilidad.</p>,<s>Mi medicina para la tranquilidad.</s>>>>><p>,...mi medicina para la tranquilidad.
210,"Eso se llama ""espionaje sexual"".",A eso lo llamamos sexpionaje.,"<s>Eso se llama ""espionaje sexual"".</s>>>>><p>A eso lo llamamos sexpionaje.</p>","<s>Eso se llama ""espionaje sexual"".</s>>>>><p>",espionaje sexual.
